d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10026] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10031] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10037] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10044] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10048] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10052] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.10055] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.10059] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.10063] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   0.10068] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.10452] added dtor for bitmap 0034EB68, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10639] added dtor for sub_bitmap 00B0F4B8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10645] added dtor for sub_bitmap 00B0F658, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10649] added dtor for sub_bitmap 00B0F7F8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10653] added dtor for sub_bitmap 00B0F998, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10657] added dtor for sub_bitmap 00B0FB38, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10660] added dtor for sub_bitmap 00B0FCD8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10664] added dtor for sub_bitmap 09383698, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10669] added dtor for sub_bitmap 09383838, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10672] added dtor for sub_bitmap 093839D8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10676] added dtor for sub_bitmap 09383B78, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10680] added dtor for sub_bitmap 09383D18, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10684] added dtor for sub_bitmap 09383EB8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10687] added dtor for sub_bitmap 09384058, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10691] added dtor for sub_bitmap 093841F8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10696] added dtor for sub_bitmap 00B10890, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10701] added dtor for sub_bitmap 00B0FEA0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10705] added dtor for sub_bitmap 00B10A38, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10709] added dtor for sub_bitmap 00B10398, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10712] added dtor for sub_bitmap 00B106E8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10716] added dtor for sub_bitmap 00B10BE0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10719] added dtor for sub_bitmap 00B10540, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10722] added dtor for sub_bitmap 00B101F0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10726] added dtor for sub_bitmap 00B10048, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10731] added dtor for sub_bitmap 00B11050, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10735] added dtor for sub_bitmap 00B11A40, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10738] added dtor for sub_bitmap 00B12928, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10742] added dtor for sub_bitmap 00B111F8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10745] added dtor for sub_bitmap 00B11F38, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10749] added dtor for sub_bitmap 00B10EA8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10753] added dtor for sub_bitmap 00B113A0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10759] added dtor for sub_bitmap 00B11548, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10763] added dtor for sub_bitmap 00B11D90, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10768] added dtor for sub_bitmap 00B11BE8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10772] added dtor for sub_bitmap 00B120E0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10776] added dtor for sub_bitmap 00B116F0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10780] added dtor for sub_bitmap 00B11898, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10784] added dtor for sub_bitmap 00B12288, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10787] added dtor for sub_bitmap 00B12430, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10791] added dtor for sub_bitmap 00B125D8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10795] added dtor for sub_bitmap 00B12AD0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10799] added dtor for sub_bitmap 00B12780, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10802] added dtor for sub_bitmap 00B12C78, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10807] added dtor for sub_bitmap 00B13A48, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10811] added dtor for sub_bitmap 00B14C80, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10815] added dtor for sub_bitmap 00B138A0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10818] added dtor for sub_bitmap 00B13058, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10822] added dtor for sub_bitmap 00B140E8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10826] added dtor for sub_bitmap 00B14438, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10830] added dtor for sub_bitmap 00B13BF0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10835] added dtor for sub_bitmap 00B12EB0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10839] added dtor for sub_bitmap 00B145E0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10843] added dtor for sub_bitmap 00B14AD8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10847] added dtor for sub_bitmap 00B14290, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10850] added dtor for sub_bitmap 00B13200, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10854] added dtor for sub_bitmap 00B13D98, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10857] added dtor for sub_bitmap 00B133A8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10861] added dtor for sub_bitmap 00B13F40, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10864] added dtor for sub_bitmap 00B13550, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10870] added dtor for sub_bitmap 00B14788, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10873] added dtor for sub_bitmap 00B14930, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10877] added dtor for sub_bitmap 00B136F8, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10882] added dtor for sub_bitmap 00B16A58, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10885] added dtor for sub_bitmap 00B172A0, func 0FE223E7
dtor     D               dtor.c:196  _al_register_destructor          [   0.10889] added dtor for sub_bitmap 00B17C90, func 0FE223E7
